Date,FR10,FRB0,FRC1,FRC2,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ2,FRK1,FRK2
2019-01-01,41658.290395830074,20093.001175486555,15715.241430777205,15769.223082678935,43140.56158088773,41784.95015590973,29695.499980335007,49360.42454873259,16211.970953921413,15991.402006920845,31609.681495826797,14875.748212281798,14594.873438717681,15740.347886418887
2019-01-02,41661.88964809966,20098.948765088542,15715.751934727112,15768.116183835657,43147.03879444475,41788.67169107513,29694.84729160902,49368.350503184905,16214.895715414514,15996.39119725007,31616.08673262901,14873.280397315231,14597.137765153915,15739.041838301046
2019-01-03,41675.95304279816,20111.355928401124,15720.987426919417,15769.401123188709,43155.320387676344,41792.910152597884,29713.619254626356,49390.60334707417,16221.887389860456,16009.957711577905,31635.08226190002,14874.523143264762,14601.173473060813,15741.074098957193
2019-01-04,41686.26207350751,20116.453116904064,15733.154786331168,15793.897337592733,43171.799740067094,41808.673726627836,29717.740825529727,49395.84033044624,16240.111843095146,16027.86592054514,31643.540531783572,14888.105096896303,14613.680351620325,15758.703019135213
2019-01-05,41690.55348801571,20115.94253910353,15732.138279571398,15802.400438541436,43180.6955501578,41819.25288626778,29721.42100533649,49398.227434785666,16245.800227198295,16032.377323114604,31650.2907628331,14892.512455111568,14618.857557877973,15760.684258298083
2019-01-06,41693.61814862936,20117.40801416729,15728.861842153612,15797.125250389825,43182.0214343813,41822.675279270145,29725.32051896191,49403.16967327558,16249.396123665338,16029.678195867436,31653.88225946801,14894.019757786515,14622.855870666428,15758.432860896104
2019-01-07,41709.62759978718,20133.583410841926,15741.145941685529,15807.59224975455,43199.73013755774,41839.11826348223,29747.321122537374,49426.20601470191,16271.45484161668,16060.50391200381,31675.362079207996,14907.455731641547,14639.741320070578,15768.22409524526
2019-01-08,41716.696723872985,20139.45265832787,15746.660215077462,15811.32566742811,43207.57452108312,41845.67780075148,29760.15716871167,49430.867128097016,16274.990275276532,16074.480713059931,31681.39518013915,14910.814704865257,14648.822564810433,15774.591544654417
2019-01-09,41721.1803806138,20143.530481416255,15752.028004466849,15824.261406328686,43213.90910211517,41852.00807465312,29765.350520129326,49439.91001583706,16275.15218803317,16081.156295505414,31687.956378451596,14911.713698114861,14650.950739254044,15785.797245567448
2019-01-10,41728.15401688837,20154.35318763728,15760.662061762276,15841.053393296017,43234.03449542315,41866.76526907031,29772.051963781923,49444.72390107302,16289.209010486304,16107.86562240677,31709.964353350875,14916.173355658218,14654.255290396877,15792.163435433147
2019-01-11,41737.19188578561,20163.89241327387,15768.896730212671,15865.220394493872,43249.74737820942,41882.473215009944,29782.412164285983,49454.3671162711,16297.689054161756,16129.089004864916,31725.84913802987,14920.407427475458,14663.693727729225,15805.694749906845
2019-01-12,41741.599319019384,20167.866704623342,15766.786966914822,15869.732470926592,43259.03749082544,41890.6435011491,29783.75779157992,49458.69114618457,16304.905023976427,16136.532427673254,31731.143368940877,14921.48526513899,14667.03876179443,15810.099459228382
2019-01-13,41744.77989370572,20169.994700309333,15765.15576424336,15871.402550687591,43265.509120413495,41895.097909800585,29784.489836392557,49466.200399070745,16307.253205535022,16134.828182378933,31733.25744958742,14923.30007241096,14663.986844819601,15810.053072569379
2019-01-14,41749.72184907507,20175.074753485755,15764.092910527967,15870.104917636927,43272.573324767225,41900.48595246166,29791.259165939988,49473.24992988056,16319.454284254934,16145.242348838443,31746.876795851764,14932.630529633436,14664.291815803404,15814.22785729015
2019-01-15,41751.14863490712,20177.061440018904,15764.047571328403,15869.189632861791,43274.070333340635,41902.98181581596,29793.76441609481,49479.20164523338,16324.936154288198,16140.122838788882,31752.304516005417,14936.246238260395,14650.07621113454,15813.406678080613
2019-01-16,41753.144391560956,20175.91014079895,15762.298837698816,15866.795424864678,43276.77777899478,41902.89929830265,29780.375931729806,49483.62618593468,16326.06533043269,16139.065275843364,31752.176038039463,14921.858634542916,14635.33479490272,15809.797433012329
2019-01-17,41751.56066898822,20177.83287085816,15755.30923391303,15861.07848712252,43282.91563459642,41906.11841416637,29777.441084468202,49497.343367357535,16327.63931927942,16137.99490338463,31757.223206252056,14908.468369602631,14622.555347033476,15803.944675699695
2019-01-18,41755.410866485545,20184.941742038864,15745.811880664554,15842.511509543374,43284.5647475575,41903.04075345221,29789.390247312735,49508.97473415038,16335.761203200027,16142.75333668615,31768.7076294531,14914.401686707753,14623.768296821616,15784.895262943408
2019-01-19,41760.74131355932,20189.635758392018,15736.772258944857,15834.468354486988,43290.21379415707,41906.2182569033,29793.421936146533,49515.30270742558,16337.57637339059,16145.197702886959,31773.483311562297,14916.094343056939,14628.933006661884,15776.832372999408
2019-01-20,41762.02865507972,20191.272139786233,15729.08277541684,15833.195252406716,43292.74501160652,41907.94061648947,29797.018831379897,49522.59884276374,16340.092507155026,16135.761722103833,31776.52521963061,14919.800621225606,14632.953898378777,15772.84698093734
2019-01-21,41762.8404471895,20187.26176040455,15719.238628517189,15825.66735742681,43293.55309704243,41907.51038914426,29798.211002879736,49527.4503609462,16330.014248080433,16119.644367554989,31778.475062293015,14921.420740659838,14634.812690893272,15757.993383738603
