Date,FR10,FRB0,FRC1,FRC2,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ2,FRK1,FRK2
2019-01-01,41595.892669520195,20034.136224153233,15667.806064276383,15733.233999240987,43091.269410540786,41737.01621869869,29619.660594574016,49274.77863479768,16207.01979922829,15949.672992907452,31522.07601863633,14845.125658821584,14561.297248242427,15719.660117144376
2019-01-02,41599.595088163696,20037.907307629986,15666.868179372785,15727.891706709535,43097.55796736332,41739.43792933301,29619.48162956148,49279.90358301651,16208.137364465709,15951.372106892579,31525.394615063426,14841.591797133176,14561.902495599801,15711.817312040195
2019-01-03,41610.099565199765,20048.472463897633,15667.636784936814,15719.24810484528,43106.81053921253,41739.46561906852,29633.331137732253,49298.522295838055,16211.08907429176,15959.617673938328,31539.88674177524,14838.8570935123,14563.4335586275,15703.722646139022
2019-01-04,41621.12623948177,20053.30783071567,15678.02865695809,15739.533493178513,43124.959789225,41753.87015196803,29635.70003454373,49303.27717239609,16228.304011686636,15975.333755394886,31548.206331796817,14851.637750837257,14577.549514906917,15716.302315064555
2019-01-05,41624.863948994425,20056.25719587127,15676.03567248686,15745.221228687713,43133.31954855967,41763.69365497335,29640.11937371419,49306.765305498586,16233.575534000061,15982.553854925667,31556.485383087278,14858.898153118587,14585.10683120397,15718.352005173952
2019-01-06,41629.01719796041,20059.177941417816,15674.511664369595,15742.828830957904,43135.59149943643,41769.21168087112,29643.26113872761,49310.696155232465,16237.899038978321,15980.376304510319,31557.285916599438,14863.97569627742,14589.92053934756,15717.757401654897
2019-01-07,41644.513114035064,20076.795024117426,15685.73235251963,15749.162151503504,43154.27042137937,41780.65960831526,29662.961514903447,49331.067842037584,16262.963867147671,16014.404969001225,31579.39742562943,14881.260211646042,14608.90416720244,15725.96020000233
2019-01-08,41647.45478644698,20082.56489789253,15691.361988460189,15756.667562275807,43156.529084895315,41782.35211535311,29672.391315776786,49336.276222990484,16266.249883536717,16028.073633412228,31582.894032865875,14888.210250733984,14618.118003030366,15734.691282148662
2019-01-09,41652.23736389334,20085.39310968951,15695.282196608141,15769.354636715057,43163.573473389595,41787.59011986867,29679.647789975963,49347.12553214008,16268.020084344093,16038.792345843964,31588.24184816597,14890.979384499844,14624.44640735837,15749.452023747566
2019-01-10,41660.228904520976,20095.048709984905,15704.542575197533,15787.463157428496,43182.72471231487,41803.913802410825,29687.61933238753,49351.857342173396,16283.9814057012,16067.995319377498,31607.731845494916,14896.72438922476,14628.028648798942,15757.532393149542
2019-01-11,41667.48395745948,20104.022684510957,15711.666369929673,15813.744762983766,43198.41643948715,41819.16628080505,29696.222323823546,49359.4718158558,16295.44119932922,16088.7872638784,31622.607262615424,14900.568038673864,14637.7082189857,15773.13229474623
2019-01-12,41671.29140822958,20106.786909712242,15708.602747778212,15819.791822027148,43204.04866965722,41824.91604624577,29697.3061044265,49364.67267292164,16301.150342968978,16094.925063439492,31627.18066535059,14899.75320337784,14641.983063351638,15779.824805179554
2019-01-13,41675.96623033653,20108.484801702078,15711.469872180953,15829.039030663342,43207.53265058904,41832.28706463742,29700.876411602283,49371.34098907911,16303.632272340235,16095.407497396707,31634.607134536913,14899.48673004691,14640.65292692488,15786.360426201936
2019-01-14,41684.92845965877,20115.396199106744,15710.98908017372,15829.254239464062,43220.289290079214,41841.25863971478,29712.60134682571,49378.25267390705,16314.093693836929,16109.89023692417,31649.80978954871,14907.210753729049,14640.74195581998,15792.492391299247
2019-01-15,41687.13752980688,20118.761692530756,15713.102305664856,15832.735725519018,43227.03450172471,41845.00150112152,29715.856550218225,49382.68411771815,16319.855751066407,16109.226943467438,31654.08643438588,14910.126149002233,14626.57692164197,15794.750366252918
2019-01-16,41689.08163852657,20120.527698008573,15712.61387583557,15835.151270125218,43229.27268700759,41846.32547307506,29702.933284331764,49385.71163453621,16317.691756550737,16109.584728873007,31656.835040116162,14892.454604117935,14613.220211763868,15799.709434733533
2019-01-17,41690.884239666826,20118.2269326593,15704.110426284746,15829.810709029485,43227.234885016245,41849.31573959926,29697.02348107544,49395.31404290331,16316.536152353168,16107.28663373903,31660.269643597534,14879.419110544075,14598.571722350425,15794.2491958073
