Date,FR10,FRB0,FRC1,FRC2,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ2,FRK1,FRK2
2019-01-01,41777.97746953853,20130.862683438132,15728.351420400028,15811.579763045218,43278.630210565185,41919.59149414955,29706.155641773337,49426.16603891164,16244.780755788212,16029.048372794254,31649.919554693133,14876.514185939597,14620.958211892232,15771.029131236526
2019-01-02,41776.358782564705,20133.91800161429,15724.184386459168,15799.446737218661,43284.90306691826,41919.84853014592,29703.59808148143,49432.038072789575,16246.822328281449,16029.13853091081,31651.821318459235,14876.470034794635,14623.06796080487,15759.65268687917
2019-01-03,41787.24489858387,20144.961827123996,15729.368012627207,15801.403323632961,43293.22506814316,41921.718754013615,29719.137427800146,49453.11060685899,16252.727273915994,16039.324552828419,31666.102276737423,14876.204998745643,14628.233640231581,15761.67675158227
2019-01-04,41796.53724407927,20149.01061526889,15741.0002096694,15824.441159856013,43310.69020850354,41936.29374282229,29724.168032175898,49458.90638522211,16273.029487156648,16060.139064178777,31674.267157615188,14893.023453694443,14641.686564288326,15776.39910538677
2019-01-05,41797.04637803818,20148.353491344053,15738.484276511901,15829.46213766096,43313.39283810833,41943.31688569975,29726.74786652215,49462.940230783206,16279.91559633041,16062.317743730979,31677.80678852625,14898.423068922428,14645.124352521434,15776.378908840135
2019-01-06,41801.940829277526,20149.613844172007,15737.963429344392,15828.259076565746,43312.913698172604,41950.67793025813,29729.557864343384,49468.14109288252,16282.61817056943,16062.441636198351,31675.199356537953,14900.621800623263,14647.499915513103,15776.992520782995
2019-01-07,41816.87727137783,20164.702865218507,15748.023383634489,15835.679763911041,43323.55493343738,41963.670817487444,29748.440435844772,49487.29960394889,16306.01924174784,16089.679355624852,31691.795099209092,14913.696773092684,14663.038363320145,15786.237931770405
2019-01-08,41823.29751781533,20174.912024257726,15752.180038034981,15837.948884310346,43327.927856122886,41969.76354815665,29760.205014248706,49495.28373882418,16308.800615152706,16106.776047339534,31695.432662660074,14917.709713233147,14668.862877130618,15791.009951571526
2019-01-09,41829.942080379136,20182.18438891344,15754.801350432259,15843.116111427862,43332.72037429653,41976.494112637876,29767.926190433405,49506.59337088283,16309.129247693078,16110.14288558002,31696.657713993063,14915.659621544155,14671.650631685156,15797.095627813796
2019-01-10,41836.622805092054,20193.051017166526,15762.589123050218,15852.842990708074,43351.995151287796,41994.120103793626,29774.91081339142,49512.45373836723,16323.202372665119,16139.172762981641,31716.56179244084,14919.5280859127,14676.031389104346,15795.11515098474
2019-01-11,41841.675932568236,20203.978163346786,15771.64939356899,15878.750024958219,43370.738542823325,42011.1843265259,29786.469187211056,49520.76482114853,16334.899539558728,16158.15655122623,31733.35543594019,14923.740259886286,14683.843898519981,15810.189054245926
2019-01-12,41844.138019253725,20203.34053363211,15767.571566073737,15880.329320917264,43380.05948946674,42019.307077339174,29787.744962085202,49523.19128443107,16342.198456728014,16167.995302754902,31740.466292328918,14925.40699154289,14687.59758107096,15815.162058110374
2019-01-13,41845.00045156492,20203.387950213884,15766.89706351802,15881.539873846572,43382.90108282416,42021.99663834326,29789.475339854096,49530.76296834332,16344.376323936325,16163.655814580006,31744.120431825686,14926.304511401073,14685.512633192982,15816.581777326373
2019-01-14,41849.50952983987,20205.332671583248,15765.570388660793,15878.370635221598,43392.831304919506,42025.04683873448,29799.4453411186,49538.41329555497,16354.595138007626,16177.259033293136,31757.04357530083,14933.565085495298,14683.761158300227,15822.373902676549
2019-01-15,41851.67952644262,20202.278392836084,15764.632218283197,15876.433484642706,43398.89028251418,42026.492658990835,29803.27012099866,49542.432389836926,16360.646445531062,16174.79231509595,31762.3407166649,14934.209178894687,14666.839385991547,15822.765818934879
2019-01-16,41854.430956170734,20202.81499108448,15763.542541021121,15874.27134736156,43401.866617525746,42030.24867243074,29791.00653303014,49549.78011809278,16360.039795054996,16171.15353521361,31766.943439493167,14914.028403241848,14652.01869043798,15820.698713427113
2019-01-17,41860.56067108885,20207.02015908768,15757.614592259493,15871.272536834653,43408.60252410885,42037.21291831657,29788.64236275872,49564.15482428019,16360.607309279436,16170.421541708942,31772.254084296568,14902.704135315556,14639.583311813554,15814.589513005641
2019-01-18,41864.665339563544,20211.59733950113,15745.8461991583,15849.782627662311,43410.432310311975,42037.15996420214,29799.50817758982,49578.91391923736,16366.69815728662,16175.645654729316,31784.0156534109,14909.76823789203,14643.006989441743,15794.202554367976
2019-01-19,41868.505406564815,20218.693309657578,15734.092819896523,15837.515945099836,43415.91957951712,42040.09117579197,29804.070735117584,49585.034378201344,16366.306169665499,16176.470583983462,31789.484352120566,14915.62127238323,14649.946475285744,15782.454969315726
2019-01-20,41869.352510308076,20219.124991470067,15725.83456627592,15836.04355513872,43414.93001529524,42036.59904522567,29809.40828404299,49592.312851383904,16362.979469273936,16159.465741463448,31793.669483651523,14917.64585777769,14652.587551581582,15779.929093753837
2019-01-21,41871.35243130205,20217.27339228244,15718.727581751318,15827.127854960821,43417.37669976167,42036.80087463998,29811.75232095723,49597.5153301925,16348.609955904794,16141.828830842358,31793.53455018974,14916.415682572471,14655.232496723838,15767.543029497177
2019-01-22,41872.51516555022,20220.741090999945,15716.16992053039,15819.228518256179,43421.21472698686,42037.408246327395,29817.873602244024,49611.25975087103,16341.791808367328,16134.940297393034,31799.02174648405,14920.530692598124,14659.855288517962,15761.27747335564
2019-01-23,41876.38674576365,20225.59219057918,15719.4538645918,15822.186088005974,43425.879650249015,42042.02742148918,29822.79053583927,49615.7322781381,16341.886372291348,16137.27087355081,31796.760129854687,14927.10797029827,14665.805653779784,15765.214189676954
2019-01-24,41876.41086191433,20224.323095139374,15718.903646185887,15821.694171817178,43425.028384072604,42040.70407022712,29824.17008873253,49620.68837206904,16344.121851669532,16137.44436593681,31788.88750133898,14931.281955382568,14666.201716949616,15765.078677230262
2019-01-25,41873.79816602719,20224.65513858866,15721.524480756432,15828.551702828154,43423.759341782104,42036.18492696949,29824.403834336583,49621.73654031083,16343.886076785167,16138.001371085911,31786.015882844138,14933.269187414828,14667.839439187324,15767.92314923955
2019-01-26,41872.40408432962,20221.657052808896,15722.937685131228,15830.467179008645,43423.84699349392,42027.78396701254,29825.029435142253,49625.27143485783,16343.638113038818,16141.50212657662,31785.928095246836,14933.787987562646,14668.094599850263,15769.915284744466
2019-01-27,41874.29592408477,20219.727657427073,15721.804699469856,15831.730063254827,43423.63072987525,42023.91876381684,29826.477564582437,49651.35017040916,16345.207961423828,16144.379178785639,31786.803619587532,14932.650963243424,14667.224852109503,15771.32619422265
2019-01-28,41886.64214222188,20215.493883699422,15719.340834785802,15832.331586469303,43428.62311053031,42025.68311086975,29840.41818988597,49665.63061972254,16347.883638204084,16143.115395237286,31792.38256657793,14931.997115335238,14667.597292501174,15770.08508017978
2019-01-29,41887.90317228901,20211.05713950399,15720.85783696522,15834.631846129994,43424.873582530025,42026.044428016,29840.086939350993,49669.44775194557,16349.948314305255,16142.024454132395,31792.346243707856,14935.343947363017,14669.362945554414,15770.399781991344
2019-01-30,41907.66664876666,20215.700775195506,15730.165707807571,15841.196718113819,43433.60698315589,42037.564862203704,29853.66801083703,49685.95044464665,16353.726931844678,16152.464367895416,31803.379706214193,14937.144213608162,14672.639321365048,15772.570843871992
2019-01-31,41916.32615009294,20222.92796640879,15749.586277843297,15864.384805199214,43442.3275443106,42050.58393405264,29858.726077701966,49692.19052186765,16364.07140723862,16169.418813759146,31818.74046664025,14948.590121275054,14680.318620532553,15781.645869360058
2019-02-01,41921.88155229215,20225.87035600563,15758.816593982086,15872.656553515773,43452.245328831974,42060.04785228575,29865.392312477743,49699.121000522864,16366.17754235687,16177.651552671925,31826.338298909624,14953.050222223139,14685.97989093315,15785.93159214938
2019-02-02,41927.307290857396,20224.91481100263,15768.756429566465,15883.784056512344,43460.15986669799,42065.46368033262,29869.457146544813,49709.01476990003,16371.183096272312,16191.579376524593,31836.571633799165,14955.881889139804,14692.385093723786,15792.127096971526
2019-02-03,41938.42449246569,20230.053398158216,15787.021200232095,15911.042186235816,43480.498191933104,42082.41101716125,29873.985274185103,49716.88025515786,16379.468968603991,16206.910656565546,31845.77474291358,14961.563652967721,14701.533137355926,15808.08474387171
2019-02-04,41944.574280207016,20219.104459992843,15795.11551592873,15925.20554417248,43498.058830078226,42099.52700228615,29872.15311470623,49720.688615176594,16381.014936055357,16211.201490205105,31848.186351035325,14961.006024276612,14705.14005845241,15816.55014583147
2019-02-05,41947.69232322688,20208.048561895102,15798.577259381025,15931.702384794246,43505.958471872924,42104.55970995031,29873.0888354473,49723.43401861426,16380.375143002337,16211.60493819354,31846.50953539646,14958.913086662242,14703.843205260562,15819.57208735674
2019-02-06,41947.63106643782,20199.335919942343,15798.830210211632,15930.865216608998,43504.37478600241,42100.944051389255,29874.982104018112,49730.98773860141,16376.743296003904,16212.105403624242,31844.657942761212,14955.933063360235,14702.021099607924,15818.867040396928
2019-02-07,41953.35915884061,20203.53472683135,15807.674097616136,15945.903052306145,43514.01738520697,42108.48075376526,29879.283628624282,49737.26448789516,16391.08995074177,16227.870028881545,31853.645448723968,14970.596754358648,14707.597394806346,15834.843030249864
2019-02-08,41961.99751822629,20207.994541422388,15811.674086779056,15956.273654852157,43524.02420930377,42121.84972065536,29882.35036427807,49742.750058991965,16398.320427824103,16243.318654457447,31861.931961426595,14975.684119955173,14716.470228312657,15840.246256652948
2019-02-09,41975.303997111405,20226.480459996445,15826.979246720166,15993.973121905261,43547.3687355441,42142.65363813856,29899.12154630847,49761.55038872808,16420.428810834914,16277.53417488038,31891.811410618393,14988.332806082473,14728.496788200531,15865.19501664709
