Date,FR10,FRB0,FRC1,FRC2,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ2,FRK1,FRK2
2019-01-01,-7.200768215528271,-5.734246002880735,-7.769757877623969,-7.819215239083305,-8.462825128300386,-9.54666227443058,-3.6294057280453904,0.0001674421354039676,-1.8557036002797827,-5.200503475379117,-3.4225999818541033,-3.846658029821292,-7.041350382835765,-7.060013723721279
2019-01-02,-6.5355851371726414,-5.134393760561666,-7.08856852080102,-7.145353771785587,-7.763785905585446,-8.830800868060956,-3.0633160088749745,0.4198899657138176,-1.4070228216428091,-4.698873470078639,-2.9046244013738702,-3.410253305304397,-6.478619941088793,-6.496315657596262
2019-01-03,-6.020800427758963,-4.603903612158521,-6.629826755456678,-6.76326618749184,-7.256837263425465,-8.282623609171432,-2.4587484111986284,0.9160564493073797,-0.9238800788063746,-4.193444698561217,-2.320926873012668,-3.013604983350288,-6.095234700656891,-6.2922953049456165
2019-01-04,-5.469475031046662,-4.105318115782009,-6.293315318041079,-6.615412858927314,-6.789329489029989,-7.86691789446152,-1.957687277613205,1.2275186257419242,-0.4940556996783739,-3.8285220756034084,-1.8279738313534977,-2.703817789861151,-5.855894622544951,-6.290162972384268
2019-01-05,-5.181555504564062,-3.8915355680952315,-6.086516105228394,-6.522242963257406,-6.458032035924655,-7.56834219703581,-1.8457132131813567,1.3064883639435525,-0.30026642114462837,-3.6538493617253667,-1.6617290971820051,-2.6021608016448323,-5.748250778118349,-6.309110771530767
2019-01-06,-4.796066497947241,-3.566528009097714,-5.935798075664175,-6.4925863668337,-6.181986563780784,-7.36483360128975,-1.4343006501562916,1.6520821160176387,-0.1482098856918132,-3.5513385242579454,-1.3691315645884132,-2.666258022920062,-5.750712672494062,-6.406590160014317
2019-01-07,-4.367445386057326,-3.0979982296680175,-5.594046041602068,-6.3340477902870225,-5.84485897222551,-7.127695339257673,-0.9679561772782607,1.9275235502963735,0.17140263781740392,-3.231564729036564,-0.9148918535774165,-2.535735139493819,-5.527117441575613,-6.3545953941645035
2019-01-08,-4.266554154181964,-2.839241139896027,-5.290331976152095,-6.130974671139865,-5.643812820949584,-6.907220676699322,-0.7795495285981859,1.9840601829621822,0.4588785968587583,-2.8883260270018356,-0.5782339183306427,-2.347443104474798,-5.285997736522894,-6.304796686806347
2019-01-09,-4.026932032765745,-2.455027633909976,-4.916190370602638,-5.8186579582788465,-5.428983266367314,-6.747105237866287,-0.37122577491301395,2.162938331813201,0.7626791059381662,-2.507202853957586,-0.12142924255596246,-2.134776921300094,-4.9355824781454,-6.058697876323619
2019-01-10,-3.725682114751123,-2.202068703630004,-4.618464837767908,-5.544883534025442,-5.106952463845765,-6.4682759862391865,-0.10354612046890001,2.2870869620646297,1.0806475767954966,-2.2660888695869366,0.16485235866800776,-1.9022094214828968,-4.674761613048611,-5.9076985886131155
2019-01-11,-3.418272698782222,-2.0010594297471647,-4.229367961095333,-5.1574014647871556,-4.693193801042228,-6.05063700456733,0.11692319708320222,2.4767896903348037,1.398589311477881,-2.08203423786351,0.3717977747986038,-1.6172592150597525,-4.370582026243906,-5.571532981622191
2019-01-12,-3.0424360557798313,-1.7621046642098028,-3.830771716406636,-4.844360611855078,-4.2541013543954005,-5.665068565185917,0.397561684639739,2.7463531014958904,1.6567181389937915,-1.8894902444872694,0.6359654231051861,-1.4648203506211583,-4.101091787626285,-5.404896489585733
2019-01-13,-2.56435261774775,-1.3768233222289388,-3.4502676191773185,-4.644854267660742,-3.7784493082745803,-5.249360360945151,0.8413704678955568,3.135950542158951,1.937367884063441,-1.596480826832792,1.0096381026323595,-1.2646094311277207,-3.837029939259363,-5.452054126067225
2019-01-14,-1.8240471574059032,-0.7462009209964314,-2.9463652374629072,-4.428034201798522,-3.1624934698387532,-4.823962423926901,1.532111914545272,3.636009166835294,2.4084298750631086,-1.2181640105858935,1.58799524788782,-1.020373743713213,-3.5426286057789977,-5.441186699133811
2019-01-15,-2.1977236427465696,-1.0871176128310756,-3.252273522360134,-4.775230542249572,-3.5680502000714496,-5.243792185487583,1.2797606459667226,3.452449231761249,2.2245223593778407,-1.527164566266627,1.3379249660993648,-1.2381721250168258,-3.8358199470232575,-5.797651275709646
2019-01-16,-2.660173593138349,-1.5261294226683628,-3.756399626856132,-5.3223675396224195,-4.043324834194521,-5.742739092260842,0.9309635194850924,3.3243401403816044,1.8178820735500214,-2.008889919312769,0.8808564349762743,-1.7196538971386481,-4.357845462359575,-6.4065399112905395
2019-01-17,-2.8308623356587765,-1.7253259997686003,-4.07914745808082,-5.702375770243831,-4.328118098115163,-6.088421604651105,0.7737895570972467,3.240925686918165,1.4245873545449197,-2.3488346695476894,0.5813417844083061,-2.1360558682205935,-4.7149117724596445,-6.85315012785599
2019-01-18,-3.0762927378001708,-1.9176016964789404,-4.349472946790164,-5.998041754400306,-4.638492392004465,-6.393152799785021,0.6691933057762242,3.256827314271848,1.3169959339363086,-2.569971538247848,0.45995986200416306,-2.356524467853421,-5.018932139860394,-7.195393736355419
2019-01-19,-3.1666248604369556,-1.8782278108953478,-4.308940423624114,-5.995225324602655,-4.732316057379367,-6.455529183637788,0.754440065096949,3.3891429340861703,1.4634869189833972,-2.459749204294579,0.5686397004298521,-2.2694849549743688,-4.961120865266673,-7.225970117369399
2019-01-20,-3.326162923825243,-1.9473519237799193,-4.292146805227236,-6.023030609624877,-4.85755894113983,-6.573526442520874,0.6761104389860657,3.350759755574095,1.4998872783534887,-2.385225810770347,0.5613107119256753,-2.153268608637543,-4.848179526348536,-7.157350860021574
2019-01-21,-3.787473923790645,-2.342485775213297,-4.635724402386871,-6.2629474547775805,-5.273622583082028,-6.874913298250471,0.29268986098855143,3.175436548946454,1.1358895088732262,-2.7396245857543535,0.1594794217954544,-2.4738951974305414,-5.151901473487008,-7.327508323640325
2019-01-22,-3.9499637578937055,-2.51930086843706,-4.897851401036548,-6.574650047895257,-5.557667919869324,-7.232354879661931,0.33099683244147954,3.4052023248975636,0.8137326283415751,-3.0422581683830456,-0.05979777153163832,-2.840842054505419,-5.470421872419633,-7.5736975786406395
2019-01-23,-3.8742945734023264,-2.488282321954123,-4.889533085664962,-6.670639913413417,-5.4682950316879495,-7.167840480665055,0.39213523571283365,3.5759501226489356,0.9074593885155198,-3.0500086860475584,-0.027275195827344563,-2.807934190396472,-5.549429532809989,-7.69598643748669
2019-01-24,-3.7718198596931827,-2.4171253629209977,-5.0036089422745516,-6.840876845678644,-5.49855285078145,-7.233750008400301,0.5827063768621628,3.8817468597901645,1.0158613794551958,-3.049986861809539,0.05632114687594709,-2.725652626239899,-5.69183515615012,-7.874311049942596
2019-01-25,-3.709428558941904,-2.3348278035250813,-5.113056813079709,-6.9786647893629,-5.5923745910201506,-7.384239114235576,0.7331789121615461,4.058557862138085,1.0052962292407563,-2.9573199622715576,0.15534745278021672,-2.7160741394248618,-5.713613275693805,-8.016472334428412
2019-01-26,-3.442866249709258,-2.045011290600954,-4.892106146704097,-6.726436406521346,-5.371551303856537,-7.206700820318857,0.9929689855468826,4.2725140187497,1.1421453173574942,-2.6697339241799876,0.37285490055891735,-2.529672457183537,-5.434893898904709,-7.730515493484715
