Date,FR10,FRB0,FRC1,FRC2,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ2,FRK1,FRK2
2019-01-01,41656.082920772686,20027.527116363864,15681.665768432302,15714.47947478934,43131.38171464051,41770.25268967531,29637.835859199535,49293.62552684007,16204.004245336188,15968.387083657106,31552.634416585446,14843.20207445262,14575.41134425409,15693.63465828331
2019-01-02,41656.61121560292,20030.015778122186,15681.7174446474,15711.246758958832,43134.26154688728,41771.23034685144,29635.201411904243,49297.4802058083,16205.468361978563,15969.390765622615,31554.80025948165,14840.444250326957,14577.130896381872,15690.68855852446
2019-01-03,41665.96236975553,20041.39524297032,15683.786755656876,15708.40899062459,43142.39268009268,41772.97974176956,29650.4690222056,49316.21913070229,16210.694706122096,15979.70641314781,31568.577781758748,14839.867813191608,14578.784923732892,15688.853269022256
2019-01-04,41675.62250044405,20048.080660779247,15696.401593933755,15734.668109438791,43159.38790033739,41788.785367788914,29655.240420555416,49321.37231065809,16228.232374944531,15997.548914317273,31575.52988724301,14854.689903684268,14590.025506664339,15705.990562960702
2019-01-05,41677.74723577242,20048.87235789412,15692.686281001837,15737.610472626526,43162.48115705115,41792.63351513825,29660.103428316324,49324.22322928728,16233.979910936421,16001.143691559691,31581.87778484599,14859.603351774824,14593.50661937006,15706.12397297853
2019-01-06,41680.930917077814,20049.26396463453,15688.335853956562,15733.980488371244,43163.680363671294,41794.7790843617,29662.89386247372,49328.11058825853,16236.150487023888,15996.737050082094,31580.392065438646,14859.686421423386,14595.00628021445,15703.81931933414
2019-01-07,41695.19640804899,20066.608527029337,15697.517268922558,15738.198790048282,43175.52475785653,41805.15766275017,29682.241500360178,49350.40582332158,16259.425475626882,16025.326574059723,31597.73172166999,14873.390855005262,14612.457387612352,15712.079423578745
2019-01-08,41699.65449270104,20074.319416096587,15699.39235499133,15735.972963624294,43178.47970025485,41809.43463058359,29692.758706687575,49356.346616594084,16259.040332078388,16036.05948854827,31600.582266649282,14877.369853461498,14622.339692635813,15713.94155786064
2019-01-09,41702.55714303842,20075.708044677056,15700.527992719999,15741.859131404604,43182.3110425887,41811.628629114886,29698.877883568744,49367.94889736271,16257.270904201956,16038.165203568129,31603.296898570166,14878.744868019321,14624.615272745892,15720.769774642476
2019-01-10,41709.113224594,20083.783847754214,15707.762857586777,15753.029267899632,43197.81437393603,41824.85887183567,29706.9133922599,49375.79056600382,16269.671360276721,16064.38650140671,31625.821600917126,14882.307038957515,14630.781298788452,15723.217054159566
2019-01-11,41713.558645363766,20093.76048647034,15717.432421571602,15779.161393658256,43212.499628442485,41839.529027570155,29716.813531758857,49384.91513435629,16274.31967279704,16085.379928277342,31641.586230320063,14884.094344513505,14639.004851609332,15736.355404899039
2019-01-12,41714.86757685715,20097.434549460988,15716.915135228151,15785.657826066985,43223.357591396314,41845.91206113442,29719.29811075879,49389.93477755826,16279.007965132267,16093.617334385244,31648.98828041605,14883.404246884671,14641.534252165555,15744.078257952477
2019-01-13,41714.507512535594,20096.630371935204,15717.040317137642,15789.653619226136,43228.088202911036,41848.80916335043,29722.52327468031,49394.68589853652,16280.063487052803,16095.279129656317,31653.30166173731,14880.843729608232,14640.584434384984,15745.383644526857
2019-01-14,41718.43919745621,20101.781559077222,15718.17780032826,15787.636819474923,43234.23322197301,41853.60799823542,29729.96845438797,49402.16563918476,16291.287277848664,16106.406734186407,31665.8545423693,14888.310741931058,14641.843595009019,15750.024118548432
2019-01-15,41719.85921548058,20103.074303421352,15716.344326593577,15786.466599011965,43237.05256751301,41853.8459976546,29733.62254322726,49406.8909291575,16294.48211679604,16101.922866406288,31670.03459645842,14890.441570177436,14627.756547034576,15749.83138284786
2019-01-16,41720.02596081909,20103.698739258816,15715.580599340477,15783.421548891378,43238.24912594715,41853.983580471555,29719.432170447653,49411.05009840923,16294.06118192312,16101.783159845356,31672.232007733022,14874.852369564991,14614.372716035317,15747.514738363003
2019-01-17,41720.94360569353,20103.740297792934,15709.549133131617,15779.133189263217,43237.294753920185,41857.29263318746,29713.76873814261,49422.463061970215,16294.06886458954,16104.41974193436,31678.830820263272,14863.046244434101,14602.414718769458,15740.96637531203
2019-01-18,41721.4335221677,20108.823451083703,15700.45196279308,15762.86210400045,43239.87308516865,41855.15449186832,29721.249220830305,49433.0466782126,16300.495157779631,16111.661745271984,31687.92178211154,14868.96571557359,14605.218692373675,15723.30961999085
2019-01-19,41723.68803477437,20110.272215554767,15689.424834930816,15752.979782366965,43243.40803935246,41854.84712006166,29722.14583711663,49434.8644032187,16300.147670640908,16112.012210513674,31687.873963033297,14870.865016648479,14608.677157065868,15713.737518965521
2019-01-20,41724.41727844487,20110.88358080906,15682.406337233762,15751.808516475448,43244.68471163136,41856.29677959928,29724.496917361776,49442.30662777386,16303.401639871154,16102.626998489126,31695.52347885369,14873.405829792027,14613.165507419902,15710.532740734852
2019-01-21,41727.07376000781,20108.137789187884,15677.573692958222,15753.85491235161,43246.33175356456,41855.23050953408,29725.521241235227,49446.23193565918,16296.15961492354,16088.87649545382,31697.20671374268,14875.749010711861,14616.36359430932,15704.034995905526
2019-01-22,41731.05696548614,20107.604722389184,15674.050948675487,15748.071182746584,43247.07549643289,41854.96281843913,29731.098824416706,49456.291244656146,16296.028197917089,16081.199132829206,31701.913960811165,14881.428316473908,14619.813870155333,15698.977424669738
2019-01-23,41731.44326321768,20106.936964703415,15677.24799326042,15750.257844064454,43247.59131995745,41857.11820598415,29731.44082955464,49457.536983452665,16294.725971894884,16079.790900181719,31695.996248459658,14883.901887280237,14619.960505137735,15700.837835350712
2019-01-24,41730.34764522722,20107.462207554207,15678.721025248049,15751.72211728125,43247.33918616778,41853.82695375,29731.63055329322,49459.72803613784,16295.391628321619,16080.549699695744,31688.238384321485,14882.541820120608,14620.179902472672,15702.82465253102
2019-01-25,41727.26925884478,20104.239739313998,15679.999154512967,15754.59095586023,43245.865277503115,41846.472403007625,29731.39588905498,49459.47309642857,16296.073275472798,16080.82438807122,31685.35029793818,14880.640803017612,14620.218537563222,15703.710133027427
2019-01-26,41727.020774592784,20103.49025873745,15680.230074286876,15753.883540846067,43243.98106981168,41838.85737164812,29731.22858543754,49462.268151777884,16294.676554451791,16080.46479385263,31685.860427507476,14877.59736875896,14617.30025057317,15704.129550660065
2019-01-27,41726.85989724349,20103.13935672339,15677.107346451307,15751.43520696982,43243.95711126296,41834.4379983819,29736.059720681962,49488.31841026101,16295.595162681358,16081.40804985472,31684.44759492901,14874.628250338135,14615.142202508741,15702.293259441038
2019-01-28,41737.62857714054,20100.776798027087,15677.107289968724,15747.279565776027,43248.073634824446,41836.14144911646,29750.051911747756,49500.960485260286,16296.527881351558,16079.871331530381,31688.972320764064,14873.223442120337,14616.15188523039,15699.496685748116
2019-01-29,41739.33878362075,20095.186099365696,15677.31395451504,15749.43809082252,43243.4125561573,41839.428775313376,29751.55283898479,49505.21890081514,16294.501994256529,16080.103065621679,31691.10228116988,14872.761428979335,14615.35354795802,15699.346528827054
2019-01-30,41758.5835590031,20103.40243984757,15686.375172280752,15753.919628834283,43251.57967753448,41851.2946607546,29766.950077381778,49524.83580715407,16294.765909666003,16086.983049634546,31699.615308485085,14872.99911483992,14617.97488565122,15697.377108767612
2019-01-31,41764.898694279975,20113.09120519337,15705.615208602374,15778.818398682593,43260.80769199414,41865.70601006871,29772.79099249016,49527.850666301376,16298.086075285928,16098.836209563991,31713.56141741479,14883.1732631061,14626.319876748346,15708.165042864819
2019-02-01,41768.23829286506,20112.496809817505,15710.104428613442,15784.176686042581,43266.251812328446,41872.12757643297,29774.38222391442,49530.775300929214,16295.149446765463,16097.801446442212,31713.76648320286,14887.353452033974,14630.183993027706,15711.735776586018
2019-02-02,41773.559133619114,20110.113127187513,15710.880052477205,15784.27250752761,43269.58366484638,41873.58294346624,29778.544836946512,49537.808792270254,16292.833162058769,16101.933197901757,31717.375057162662,14887.768412028263,14632.900413727495,15711.028218605948
2019-02-03,41783.96080307443,20118.42479602895,15725.771090245516,15804.37328604459,43289.74774478487,41891.03676159248,29784.986761831853,49542.289842206,16297.358164312775,16113.880657990394,31728.807974690804,14892.84245469387,14640.687822718555,15720.415469723586
2019-02-04,41789.8484983019,20112.160323121025,15732.451598320815,15813.128799035101,43308.356730878855,41902.33220176231,29784.24724601922,49546.300706307644,16298.599990253722,16119.013805355424,31730.367366286893,14895.330153191671,14644.360543217323,15724.608572613122
2019-02-05,41793.51486463487,20102.10796137281,15736.197228790814,15823.317442773137,43315.52870652876,41908.69052908776,29783.933618365594,49547.44493433823,16299.477258311255,16121.609169320678,31729.993451349703,14897.676139255798,14646.720249284124,15730.736855060264
2019-02-06,41795.53556771304,20094.24615267505,15738.23876056549,15827.621245479822,43317.77876220983,41911.101441460414,29785.531119148964,49554.24844388536,16301.604740566892,16125.435605160961,31728.74739084531,14899.25020958969,14648.581882495775,15732.618606242118
